id,age,name,club,nationality,position,preferred_foot,release_clause,value,wage
190483,27,Douglas Costa,Juventus,Brazil,LM,Left,76700000.0,46500000.0,175000.0
189596,28,T. Müller,FC Bayern München,Germany,CAM,Right,74300000.0,45000000.0,135000.0
189509,27,Thiago,FC Bayern München,Spain,CM,Right,75100000.0,45500000.0,130000.0
188350,29,M. Reus,Borussia Dortmund,Germany,LM,Right,74000000.0,43500000.0,100000.0
184432,28,Azpilicueta,Chelsea,Spain,RB,Right,64800000.0,35000000.0,175000.0
184344,31,L. Bonucci,Juventus,Italy,RCB,Right,49500000.0,30000000.0,160000.0
184087,29,T. Alderweireld,Tottenham Hotspur,Belgium,RCB,Right,75100000.0,39000000.0,150000.0
180206,28,M. Pjanić,Juventus,Bosnia Herzegovina,CDM,Right,72600000.0,44000000.0,180000.0
177509,31,M. Benatia,Juventus,Morocco,CB,Right,49500000.0,30000000.0,160000.0
176635,29,M. Özil,Arsenal,Germany,CAM,Left,82700000.0,43500000.0,190000.0
135507,33,Fernandinho,Manchester City,Brazil,CDM,Right,33299999.999999996,18000000.0,185000.0
41,34,Iniesta,Vissel Kobe,Spain,LF,Right,26900000.0,21500000.0,21000.0
232363,23,M. Škriniar,Inter,Slovakia,LCB,Right,88400000.0,46500000.0,82000.0
223848,23,S. Milinković-Savić,Lazio,Serbia,CM,Right,89600000.0,50500000.0,73000.0
220834,22,Marco Asensio,Real Madrid,Spain,RW,Left,121500000.0,54000000.0,215000.0
216594,24,N. Fekir,Olympique Lyonnais,France,CAM,Left,98800000.0,50000000.0,92000.0
212831,25,Alisson,Liverpool,Brazil,GK,Right,72100000.0,36500000.0,115000.0
212622,23,J. Kimmich,FC Bayern München,Germany,RCM,Right,69900000.0,40500000.0,92000.0
208421,23,Saúl,Atlético Madrid,Spain,RCM,Left,107300000.0,50500000.0,77000.0
204485,27,R. Mahrez,Manchester City,Algeria,RW,Left,74900000.0,40500000.0,205000.0
197445,26,D. Alaba,FC Bayern München,Austria,LB,Left,65599999.99999999,38000000.0,110000.0
193747,26,Koke,Atlético Madrid,Spain,LM,Right,95600000.0,45000000.0,88000.0
193301,27,A. Lacazette,Arsenal,France,ST,Right,88900000.0,45000000.0,180000.0
192774,27,K. Manolas,Roma,Greece,LCB,Right,66599999.99999999,37500000.0,96000.0
192366,30,N. Otamendi,Manchester City,Argentina,CB,Right,52700000.0,28500000.0,170000.0
189513,29,Parejo,Valencia CF,Spain,RCM,Right,77700000.0,37000000.0,66000.0
187961,29,Paulinho,Guangzhou Evergrande Taobao FC,Brazil,LDM,Right,,37000000.0,235000.0
186153,28,W. Szczęsny,Juventus,Poland,GK,Right,55200000.0,32000000.0,125000.0
184941,29,A. Sánchez,Manchester United,Chile,RW,Right,69400000.0,37500000.0,215000.0
184267,28,Y. Brahimi,FC Porto,Algeria,LM,Right,78000000.0,39000000.0,28000.0
183907,29,J. Boateng,FC Bayern München,Germany,RCB,Right,49500000.0,30000000.0,115000.0
181872,31,A. Vidal,FC Barcelona,Chile,CAM,Right,53300000.0,26000000.0,205000.0
181458,29,I. Perišić,Inter,Croatia,LM,Right,63800000.0,37500000.0,110000.0
180930,32,E. Džeko,Roma,Bosnia Herzegovina,ST,Right,51900000.0,30500000.0,115000.0
179846,31,S. Khedira,Juventus,Germany,RCM,Right,54500000.0,33000000.0,160000.0
179844,29,Diego Costa,Atlético Madrid,Spain,LS,Right,78900000.0,38500000.0,100000.0
178518,30,R. Nainggolan,Inter,Belgium,CAM,Right,60400000.0,35500000.0,105000.0
171919,35,Naldo,FC Schalke 04,Brazil,CB,Right,15300000.0,9000000.0,38000.0
170890,31,B. Matuidi,Juventus,France,LM,Left,42900000.0,26000000.0,145000.0
168609,33,Miranda,Inter,Brazil,CB,Right,26400000.0,15500000.0,96000.0
165153,30,K. Benzema,Real Madrid,France,ST,Right,75900000.0,37000000.0,240000.0
164169,32,Filipe Luís,Atlético Madrid,Brazil,LB,Left,44100000.0,21500000.0,81000.0
139720,32,V. Kompany,Manchester City,Belgium,CB,Right,40700000.0,22000000.0,170000.0
120533,35,Pepe,Beşiktaş JK,Portugal,RCB,Right,17100000.0,9000000.0,57000.0
41236,36,Z. Ibrahimović,LA Galaxy,Sweden,RS,Right,21000000.0,14000000.0,15000.0
220793,22,D. Sánchez,Tottenham Hotspur,Colombia,RCB,Right,65500000.0,34000000.0,105000.0
216460,23,J. Giménez,Atlético Madrid,Uruguay,RCB,Right,72300000.0,34000000.0,63000.0
212462,25,Alex Telles,FC Porto,Brazil,LB,Left,66400000.00000001,32000000.0,22000.0
212218,24,A. Laporte,Manchester City,France,LCB,Left,65500000.0,34000000.0,135000.0
212198,23,Bruno Fernandes,Sporting CP,Portugal,LCM,Right,84000000.0,40500000.0,22000.0
212190,22,N. Süle,FC Bayern München,Germany,CB,Right,67500000.0,36500000.0,84000.0
211300,22,A. Martial,Manchester United,France,LW,Right,87100000.0,42500000.0,165000.0
211117,22,D. Alli,Tottenham Hotspur,England,LCM,Right,87100000.0,42500000.0,115000.0
209499,24,Fabinho,Liverpool,Brazil,CDM,Right,67200000.0,34000000.0,120000.0
207865,24,Marquinhos,Paris Saint-Germain,Brazil,LDM,Right,68300000.0,35500000.0,90000.0
207566,26,William Carvalho,Real Betis,Portugal,CDM,Right,68500000.0,31500000.0,38000.0
205498,26,Jorginho,Chelsea,Italy,CM,Right,73200000.0,38000000.0,155000.0
204970,25,F. Thauvin,Olympique de Marseille,France,RM,Left,77000000.0,39000000.0,72000.0
204963,26,Carvajal,Real Madrid,Spain,RB,Right,66900000.00000001,31500000.0,185000.0
202556,24,M. Depay,Olympique Lyonnais,Netherlands,ST,Right,83000000.0,42000000.0,93000.0
200104,25,H. Son,Tottenham Hotspur,Korea Republic,LM,Right,71200000.0,37000000.0,125000.0
199482,27,A. Lopes,Olympique Lyonnais,Portugal,GK,Left,49400000.0,25000000.0,72000.0
198176,26,S. de Vrij,Inter,Netherlands,CB,Right,55900000.0,31500000.0,88000.0
198009,25,M. Perin,Juventus,Italy,GK,Right,50900000.0,29500000.0,105000.0
193082,30,J. Cuadrado,Juventus,Colombia,RAM,Right,48700000.0,29500000.0,150000.0
192629,30,Iago Aspas,RC Celta,Spain,ST,Left,63000000.0,30000000.0,45000.0
192563,26,B. Leno,Arsenal,Germany,GK,Right,53300000.0,27000000.0,115000.0
191202,29,N. Matić,Manchester United,Serbia,CDM,Left,44400000.0,24000000.0,165000.0
190941,28,L. Hrádecký,Bayer 04 Leverkusen,Finland,GK,Right,37400000.0,22000000.0,74000.0
190584,28,Illarramendi,Real Sociedad,Spain,RDM,Right,65099999.99999999,31000000.0,51000.0
188377,28,K. Walker,Manchester City,England,RB,Right,45300000.0,24500000.0,165000.0
186942,27,I. Gündoğan,Manchester City,Germany,CM,Right,59200000.0,32000000.0,175000.0
185020,31,José Callejón,Napoli,Spain,RM,Right,46800000.0,27500000.0,105000.0
183898,30,A. Di María,Paris Saint-Germain,Argentina,RM,Left,54600000.0,29500000.0,125000.0
181783,32,M. Mandžukić,Juventus,Croatia,ST,Right,41300000.0,25000000.0,160000.0
180403,29,Willian,Chelsea,Brazil,RW,Right,56400000.0,30500000.0,175000.0
178750,29,Sergio Asenjo,Villarreal CF,Spain,GK,Right,52200000.0,24000000.0,42000.0
178562,30,E. Banega,Sevilla FC,Argentina,CDM,Right,60900000.0,29000000.0,31000.0
177413,29,A. Witsel,Borussia Dortmund,Belgium,LCM,Right,40800000.0,24000000.0,77000.0
177388,31,D. Payet,Olympique de Marseille,France,CAM,Right,52300000.0,27500000.0,75000.0
176769,34,Jonas,SL Benfica,Brazil,ST,Right,33000000.0,16500000.0,25000.0
172879,30,Sokratis,Arsenal,Greece,RCB,Right,43700000.0,23000000.0,140000.0
167628,31,S. Ruffier,AS Saint-Étienne,France,GK,Right,36100000.0,19000000.0,41000.0
167397,32,Falcao,AS Monaco,Colombia,RS,Right,47500000.0,25000000.0,115000.0
163587,31,K. Schmeichel,Leicester City,Denmark,GK,Right,36100000.0,19000000.0,78000.0
157481,32,Raúl Albiol,Napoli,Spain,RCB,Right,30600000.0,18000000.0,88000.0
143076,30,A. Gómez,Atalanta,Argentina,LS,Right,51000000.0,30000000.0,53000.0
137186,37,A. Barzagli,Juventus,Italy,CB,Right,6900000.0,4200000.0,95000.0
20775,34,Quaresma,Beşiktaş JK,Portugal,RM,Right,29500000.0,15500000.0,80000.0
9014,34,A. Robben,FC Bayern München,Netherlands,RM,Left,25600000.0,15500000.0,110000.0
231443,21,O. Dembélé,FC Barcelona,France,RW,Left,90000000.0,40000000.0,155000.0
230666,21,Gabriel Jesus,Manchester City,Brazil,ST,Right,84100000.0,41000000.0,130000.0
230481,26,Ronaldo Cabrais,Grêmio,Brazil,RW,Right,50400000.0,28000000.0,51000.0
230375,26,Josué Chiamulera,Grêmio,Brazil,LCB,Right,40500000.0,22500000.0,43000.0
230294,26,Louri Beretta,Atlético Mineiro,Brazil,ST,Right,54200000.0,28500000.0,60000.0
225850,22,P. Kimpembe,Paris Saint-Germain,France,LCB,Left,62500000.0,30500000.0,82000.0
220971,23,N. Keïta,Liverpool,Guinea,CM,Right,67200000.0,34000000.0,120000.0
219683,23,C. Tolisso,FC Bayern München,France,CM,Right,58700000.0,34000000.0,85000.0
213565,22,T. Lemar,Atlético Madrid,France,LM,Left,79900000.0,35500000.0,64000.0
213345,22,K. Coman,FC Bayern München,France,LM,Right,58700000.0,34000000.0,85000.0
213331,22,J. Tah,Bayer 04 Leverkusen,Germany,CB,Right,52400000.0,29500000.0,67000.0
212523,24,Anderson Talisca,Guangzhou Evergrande Taobao FC,Brazil,CAM,Left,,36500000.0,18000.0
212188,22,T. Werner,RB Leipzig,Germany,RW,Right,61200000.0,34500000.0,70000.0
210008,23,A. Rabiot,Paris Saint-Germain,France,CM,Left,63500000.0,33000000.0,91000.0
209658,23,L. Goretzka,FC Bayern München,Germany,CM,Right,58700000.0,34000000.0,85000.0
208808,26,Q. Promes,Sevilla FC,Netherlands,RM,Right,66300000.0,30500000.0,28000.0
208670,25,H. Ziyech,Ajax,Morocco,RAM,Left,47900000.0,32500000.0,28000.0
208618,27,Lucas Vázquez,Real Madrid,Spain,RW,Right,55400000.0,27000000.0,205000.0
208418,24,Y. Carrasco,Dalian YiFang FC,Belgium,LM,Right,73400000.0,33000000.0,20000.0
208093,26,Gerard Moreno,Villarreal CF,Spain,LS,Left,69600000.0,32000000.0,53000.0
207863,29,Felipe,FC Porto,Brazil,RCB,Right,40000000.0,20000000.0,22000.0
207410,24,M. Kovačić,Chelsea,Croatia,LCM,Right,,35000000.0,165000.0
206585,23,Kepa,Chelsea,Spain,GK,Right,58400000.0,28500000.0,84000.0
206545,26,Manu Trigueros,Villarreal CF,Spain,RCM,Right,65300000.0,30000000.0,49000.0
206113,22,S. Gnabry,FC Bayern München,Germany,ST,Right,59500000.0,34500000.0,85000.0
204935,24,J. Pickford,Everton,England,GK,Left,49400000.0,25000000.0,78000.0
204639,27,S. Savić,Atlético Madrid,Montenegro,CB,Right,55300000.0,26000000.0,67000.0
203574,24,J. Stones,Manchester City,England,RCB,Right,54900000.0,28500000.0,125000.0
202651,24,Suso,Milan,Spain,RW,Left,58600000.0,33000000.0,115000.0
202166,24,J. Draxler,Paris Saint-Germain,Germany,CM,Right,62600000.0,32500000.0,91000.0
201995,25,Felipe Anderson,West Ham United,Brazil,LM,Right,62200000.0,31500000.0,110000.0
200949,25,Lucas Moura,Tottenham Hotspur,Brazil,RM,Right,59700000.0,31000000.0,115000.0
200888,26,Danilo Pereira,FC Porto,Portugal,CDM,Right,56000000.0,27000000.0,21000.0
200724,28,Nacho Fernández,Real Madrid,Spain,CB,Right,52100000.0,24500000.0,180000.0
200316,25,T. Horn,1. FC Köln,Germany,GK,Left,37800000.0,24000000.0,25000.0
199914,27,Allan,Napoli,Brazil,RCM,Right,45100000.0,26500000.0,87000.0
199845,30,F. Acerbi,Lazio,Italy,CB,Left,32299999.999999996,19000000.0,64000.0
199564,26,Sergi Roberto,FC Barcelona,Spain,RB,Right,56300000.0,26500000.0,170000.0
198329,27,Rodrigo,Valencia CF,Spain,ST,Left,66300000.0,30500000.0,57000.0
197965,28,Pizzi,SL Benfica,Portugal,LCM,Right,51000000.0,25500000.0,22000.0
195365,27,K. Kampl,RB Leipzig,Slovenia,LCM,Right,45100000.0,26500000.0,74000.0
194404,28,Neto,Valencia CF,Brazil,GK,Right,45700000.0,21000000.0,41000.0
193698,28,O. Baumann,TSG 1899 Hoffenheim,Germany,GK,Right,37300000.0,21000000.0,42000.0
193474,28,I. Gueye,Everton,Senegal,RDM,Right,39900000.0,21000000.0,125000.0
192883,29,H. Mkhitaryan,Arsenal,Armenia,RM,Right,48500000.0,25500000.0,145000.0
192638,27,Marcos Alonso,Chelsea,Spain,LB,Left,46200000.0,24000000.0,130000.0
192593,33,D. Subašić,AS Monaco,Croatia,GK,Right,24700000.0,13000000.0,70000.0
190547,30,K. Glik,AS Monaco,Poland,RCB,Right,36100000.0,19000000.0,86000.0
189712,28,K. Strootman,Olympique de Marseille,Netherlands,CDM,Left,39900000.0,21000000.0,66000.0
189068,29,B. Dost,Sporting CP,Netherlands,ST,Right,52000000.0,26000000.0,26000.0
188152,26,Oscar,Shanghai SIPG FC,Brazil,LCM,Right,69400000.0,30500000.0,29000.0
186627,27,M. Balotelli,OGC Nice,Italy,LS,Right,52300000.0,27500000.0,55000.0
185221,30,Luiz Gustavo,Olympique de Marseille,Brazil,LCB,Left,36100000.0,19000000.0,63000.0
184942,28,Giuliano,Al Nassr,Brazil,CAM,Right,44200000.0,26000000.0,64000.0
179944,31,David Luiz,Chelsea,Brazil,LCB,Right,32400000.0,17500000.0,130000.0
179783,29,R. Fährmann,FC Schalke 04,Germany,GK,Right,35500000.0,20000000.0,38000.0
178088,30,Juan Mata,Manchester United,Spain,RM,Left,45300000.0,24500000.0,160000.0
178086,31,Adán,Atlético Madrid,Spain,GK,Left,31800000.0,15500000.0,55000.0
178005,30,Rui Patrício,Wolverhampton Wanderers,Portugal,GK,Left,31400000.0,16500000.0,74000.0
177683,29,Y. Sommer,Borussia Mönchengladbach,Switzerland,GK,Right,35500000.0,20000000.0,35000.0
177610,29,Javi Martínez,FC Bayern München,Spain,CDM,Right,33000000.0,20000000.0,94000.0
177457,29,L. Bender,Bayer 04 Leverkusen,Germany,RB,Right,34000000.0,20000000.0,82000.0
176266,31,Lucas Leiva,Lazio,Brazil,LDM,Right,29800000.0,17500000.0,64000.0
163705,33,S. Mandanda,Olympique de Marseille,France,GK,Right,24700000.0,13000000.0,51000.0
162895,31,Cesc Fàbregas,Chelsea,Spain,CM,Right,40700000.0,22000000.0,140000.0
162240,30,M. Dembélé,Tottenham Hotspur,Belgium,CM,Left,44400000.0,24000000.0,120000.0
156616,35,F. Ribéry,FC Bayern München,France,LM,Right,19000000.0,11500000.0,72000.0
104389,33,R. Jarstein,Hertha BSC,Norway,GK,Right,22100000.0,13000000.0,33000.0
53302,34,D. De Rossi,Roma,Italy,RDM,Right,13600000.0,8000000.0,80000.0
24630,35,Pepe Reina,Milan,Spain,GK,Right,10200000.0,6000000.0,56000.0
236583,26,J. Pavlenka,SV Werder Bremen,Czech Republic,GK,Right,34600000.0,19500000.0,30000.0
235243,18,M. de Ligt,Ajax,Netherlands,RCB,Right,43200000.0,27000000.0,11000.0
231866,22,Rodri,Atlético Madrid,Spain,CM,Right,61600000.0,29000000.0,59000.0
230658,21,Arthur,FC Barcelona,Brazil,LCM,Right,73100000.0,32500000.0,125000.0
230621,19,G. Donnarumma,Milan,Italy,GK,Right,55100000.0,29000000.0,23000.0
230258,30,Rosberto Dourado,Atlético Mineiro,Brazil,RCM,Right,31400000.0,16500000.0,46000.0
230225,34,Juiano Mestres,Cruzeiro,Brazil,RCB,Right,12400000.0,6500000.0,39000.0
230168,30,Raphaelito Anjos,Grêmio,Brazil,GK,Right,25200000.0,14000000.0,32000.0
227055,23,Gelson Martins,Atlético Madrid,Portugal,RM,Right,62700000.0,29500000.0,59000.0
224411,21,Gonçalo Guedes,Valencia CF,Portugal,LM,Right,63100000.0,29000000.0,36000.0
223959,22,L. Torreira,Arsenal,Uruguay,LCM,Right,49400000.0,25000000.0,98000.0
222737,21,Malcom,FC Barcelona,Brazil,RW,Left,70900000.0,31500000.0,140000.0
221087,23,Pau López,Real Betis,Spain,GK,Left,46800000.0,21500000.0,21000.0
220814,22,L. Hernández,Atlético Madrid,France,LB,Left,57400000.0,25500000.0,53000.0
220440,23,C. Lenglet,FC Barcelona,France,LCB,Left,58500000.0,26000000.0,135000.0
216354,27,A. Kramarić,TSG 1899 Hoffenheim,Croatia,LCM,Right,46200000.0,26000000.0,54000.0
216267,24,A. Robertson,Liverpool,Scotland,LB,Left,48400000.0,24500000.0,98000.0
216194,28,Dani García,Athletic Club de Bilbao,Spain,RCM,Right,43500000.0,20000000.0,33000.0
212404,24,F. Bernardeschi,Juventus,Italy,RM,Left,50900000.0,29500000.0,110000.0
212194,22,J. Brandt,Bayer 04 Leverkusen,Germany,LM,Right,58000000.0,30500000.0,68000.0
211320,23,D. Rugani,Juventus,Italy,CB,Right,42300000.0,24500000.0,95000.0
210617,23,Samu Castillejo,Milan,Spain,RM,Left,51500000.0,29000000.0,94000.0
210514,24,João Cancelo,Juventus,Portugal,RB,Right,47200000.0,25500000.0,95000.0
210413,23,A. Romagnoli,Milan,Italy,LCB,Left,50400000.0,26500000.0,84000.0
209989,25,T. Partey,Atlético Madrid,Ghana,CDM,Right,57400000.0,25500000.0,59000.0
209297,25,Fred,Manchester United,Brazil,CM,Left,51000000.0,26500000.0,140000.0
208830,31,J. Vardy,Leicester City,England,ST,Right,38000000.0,20000000.0,96000.0
208596,24,A. Belotti,Torino,Italy,LS,Right,53300000.0,30000000.0,58000.0
208448,26,E. Forsberg,RB Leipzig,Sweden,LM,Right,46200000.0,26000000.0,67000.0
207494,25,J. Lingard,Manchester United,England,CAM,Right,51000000.0,26500000.0,140000.0
207471,29,F. Vázquez,Sevilla FC,Argentina,LCM,Left,45200000.0,21500000.0,27000.0
205678,28,E. Višća,Medipol Başakşehir FK,Bosnia Herzegovina,RM,Right,42800000.0,22500000.0,40000.0
205452,25,A. Rüdiger,Chelsea,Germany,CB,Right,43300000.0,22500000.0,110000.0
203551,27,A. Florenzi,Roma,Italy,RB,Right,36400000.0,20500000.0,73000.0
203263,25,H. Maguire,Leicester City,England,LCB,Right,46400000.0,23500000.0,77000.0
202371,26,T. Meunier,Paris Saint-Germain,Belgium,RM,Right,40400000.0,21000000.0,87000.0
201956,27,S. Sané,FC Schalke 04,Senegal,CB,Right,31500000.0,18500000.0,41000.0
201455,25,G. Kondogbia,Valencia CF,Central African Rep.,CM,Left,59800000.0,27500000.0,46000.0
201400,25,Rafinha,FC Barcelona,Brazil,CAM,Left,62700000.0,29500000.0,165000.0
201305,27,Gabriel Paulista,Valencia CF,Brazil,LCB,Right,45700000.0,21000000.0,44000.0
201153,25,Morata,Chelsea,Spain,ST,Right,54900000.0,28500000.0,135000.0
199987,29,J. Cillessen,FC Barcelona,Netherlands,GK,Right,38300000.0,18000000.0,135000.0
199451,27,W. Ben Yedder,Sevilla FC,France,RS,Right,49400000.0,23500000.0,28000.0
198951,27,C. Bakambu,Beijing Sinobo Guoan FC,DR Congo,ST,Right,59200000.0,26000000.0,33000.0
198950,26,Pablo Sarabia,Sevilla FC,Spain,RCM,Left,56600000.0,26000000.0,26000.0
198717,25,W. Zaha,Crystal Palace,Ivory Coast,LS,Right,56300000.0,28500000.0,78000.0
198706,25,Luis Alberto,Lazio,Spain,CF,Right,50600000.0,28500000.0,67000.0
198164,28,Jonathan Viera,Beijing Sinobo Guoan FC,Spain,LF,Right,49500000.0,22500000.0,31000.0
198141,27,Bartra,Real Betis,Spain,CB,Right,45700000.0,21000000.0,32000.0
197655,27,S. Coates,Sporting CP,Uruguay,RCB,Right,43600000.0,21000000.0,19000.0
195093,26,Willian José,Real Sociedad,Brazil,ST,Right,57600000.0,26500000.0,44000.0
193525,27,Mário Fernandes,PFC CSKA Moscow,Russia,RB,Right,40700000.0,18500000.0,1000.0
193469,29,Víctor Ruiz,Villarreal CF,Spain,LCB,Left,42400000.0,19500000.0,43000.0
193283,26,T. Delaney,Borussia Dortmund,Denmark,LCM,Left,38200000.0,21500000.0,61000.0
192984,26,K. Casteels,VfL Wolfsburg,Belgium,GK,Left,34600000.0,19500000.0,46000.0
192318,26,M. Götze,Borussia Dortmund,Germany,CM,Right,47900000.0,27000000.0,67000.0
192227,26,S. Mustafi,Arsenal,Germany,RCB,Right,44400000.0,22500000.0,115000.0
191180,29,J. Pastore,Roma,Argentina,CAM,Right,36600000.0,21500000.0,84000.0
189505,30,Pedro,Chelsea,Spain,RW,Right,38900000.0,21000000.0,140000.0
189125,28,G. Bonaventura,Milan,Italy,CM,Right,37400000.0,22000000.0,115000.0
189117,27,R. Bürki,Borussia Dortmund,Switzerland,GK,Right,32799999.999999996,18500000.0,50000.0
188803,30,Taison,Shakhtar Donetsk,Brazil,LM,Right,44100000.0,21000000.0,1000.0
187936,29,S. Nzonzi,Roma,France,CDM,Right,28900000.0,17000000.0,77000.0
187754,30,Marlos,Shakhtar Donetsk,Ukraine,RM,Left,44100000.0,21000000.0,1000.0
186561,27,A. Ramsey,Arsenal,Wales,CAM,Right,49400000.0,25000000.0,130000.0
186345,27,K. Trippier,Tottenham Hotspur,England,RB,Right,34200000.0,18500000.0,99000.0
185103,32,A. Kolarov,Roma,Serbia,LB,Left,21300000.0,12500000.0,73000.0
