id,acceleration,balance,ballcontrol,crossing,dribbling,finishing,jumping,overall,positioning,stamina
198219,94.0,93.0,93.0,86.0,90.0,77.0,53.0,88,83.0,75.0
197781,75.0,90.0,95.0,75.0,94.0,79.0,64.0,88,78.0,70.0
190460,75.0,81.0,91.0,88.0,84.0,80.0,50.0,88,83.0,92.0
189242,89.0,93.0,92.0,79.0,91.0,79.0,59.0,88,84.0,79.0
188567,93.0,70.0,82.0,77.0,79.0,88.0,79.0,88,90.0,76.0
178603,53.0,60.0,81.0,64.0,68.0,55.0,68.0,88,56.0,66.0
176676,83.0,86.0,92.0,90.0,90.0,70.0,76.0,88,85.0,91.0
173731,94.0,65.0,85.0,87.0,87.0,86.0,87.0,88,85.0,75.0
167948,65.0,54.0,34.0,13.0,10.0,10.0,74.0,88,10.0,41.0
167664,73.0,69.0,85.0,68.0,84.0,92.0,79.0,88,92.0,70.0
164240,70.0,68.0,80.0,60.0,62.0,38.0,90.0,88,59.0,74.0
162835,51.0,36.0,16.0,12.0,12.0,10.0,78.0,88,12.0,41.0
1179,49.0,49.0,28.0,13.0,26.0,15.0,75.0,88,12.0,39.0
205600,71.0,66.0,77.0,69.0,69.0,51.0,89.0,87,58.0,78.0
201399,77.0,76.0,81.0,46.0,77.0,91.0,94.0,87,92.0,72.0
201024,68.0,40.0,60.0,30.0,66.0,19.0,81.0,87,24.0,71.0
195864,71.0,64.0,90.0,80.0,87.0,73.0,83.0,87,81.0,88.0
193041,54.0,61.0,19.0,11.0,16.0,15.0,74.0,87,16.0,39.0
192505,77.0,46.0,72.0,78.0,80.0,87.0,71.0,87,89.0,84.0
192387,78.0,63.0,83.0,55.0,83.0,90.0,77.0,87,91.0,80.0
189332,93.0,85.0,84.0,87.0,80.0,73.0,81.0,87,79.0,91.0
175943,93.0,92.0,89.0,77.0,91.0,86.0,60.0,87,87.0,75.0
172871,61.0,60.0,76.0,68.0,71.0,56.0,85.0,87,60.0,75.0
171877,69.0,66.0,87.0,78.0,86.0,79.0,71.0,87,88.0,84.0
168651,66.0,66.0,87.0,84.0,84.0,83.0,39.0,87,79.0,84.0
152729,49.0,36.0,78.0,57.0,59.0,64.0,74.0,87,58.0,65.0
222492,93.0,81.0,85.0,83.0,88.0,81.0,64.0,86,84.0,79.0
218667,84.0,88.0,91.0,85.0,92.0,75.0,50.0,86,83.0,78.0
210257,64.0,48.0,37.0,20.0,23.0,14.0,58.0,86,20.0,41.0
208722,95.0,86.0,86.0,73.0,87.0,84.0,75.0,86,87.0,84.0
203376,74.0,49.0,73.0,53.0,70.0,52.0,85.0,86,41.0,71.0
202652,95.0,93.0,87.0,77.0,88.0,77.0,57.0,86,87.0,78.0
201942,78.0,81.0,88.0,72.0,87.0,87.0,81.0,86,87.0,90.0
201535,83.0,40.0,77.0,36.0,57.0,40.0,79.0,86,44.0,73.0
199556,69.0,94.0,88.0,72.0,90.0,60.0,64.0,86,71.0,77.0
191043,83.0,78.0,81.0,84.0,80.0,55.0,79.0,86,70.0,92.0
190483,97.0,91.0,91.0,84.0,92.0,67.0,61.0,86,76.0,78.0
189596,73.0,72.0,82.0,79.0,75.0,87.0,81.0,86,92.0,87.0
189509,78.0,86.0,90.0,72.0,90.0,69.0,75.0,86,79.0,75.0
188350,86.0,81.0,86.0,79.0,87.0,87.0,70.0,86,88.0,73.0
184432,76.0,73.0,77.0,81.0,69.0,46.0,76.0,86,62.0,87.0
184344,57.0,52.0,75.0,44.0,69.0,48.0,85.0,86,38.0,71.0
184087,61.0,50.0,74.0,64.0,62.0,45.0,84.0,86,58.0,74.0
180206,66.0,79.0,89.0,80.0,86.0,60.0,61.0,86,70.0,78.0
177509,65.0,53.0,64.0,45.0,64.0,47.0,85.0,86,38.0,69.0
176635,72.0,70.0,90.0,83.0,84.0,73.0,48.0,86,83.0,69.0
135507,68.0,78.0,82.0,68.0,77.0,69.0,76.0,86,70.0,79.0
41,70.0,84.0,92.0,77.0,90.0,70.0,47.0,86,81.0,55.0
232363,70.0,48.0,67.0,40.0,59.0,42.0,78.0,85,30.0,77.0
223848,68.0,59.0,87.0,64.0,86.0,80.0,85.0,85,79.0,85.0
220834,85.0,76.0,85.0,82.0,86.0,82.0,58.0,85,82.0,76.0
216594,79.0,91.0,89.0,83.0,90.0,82.0,69.0,85,81.0,80.0
212831,54.0,37.0,30.0,17.0,27.0,13.0,52.0,85,13.0,32.0
212622,78.0,83.0,85.0,90.0,80.0,66.0,79.0,85,80.0,85.0
208421,74.0,69.0,85.0,69.0,83.0,78.0,79.0,85,82.0,86.0
204485,88.0,88.0,90.0,81.0,91.0,80.0,61.0,85,80.0,76.0
197445,79.0,77.0,83.0,81.0,79.0,63.0,82.0,85,76.0,87.0
193747,71.0,78.0,86.0,86.0,82.0,72.0,61.0,85,84.0,90.0
193301,81.0,85.0,83.0,64.0,85.0,88.0,76.0,85,86.0,79.0
192774,80.0,59.0,65.0,27.0,54.0,10.0,86.0,85,25.0,76.0
192366,57.0,62.0,70.0,52.0,51.0,54.0,92.0,85,51.0,67.0
189513,51.0,72.0,84.0,84.0,78.0,79.0,51.0,85,81.0,78.0
187961,73.0,66.0,84.0,64.0,82.0,81.0,90.0,85,84.0,92.0
186153,51.0,51.0,22.0,12.0,11.0,12.0,71.0,85,14.0,45.0
184941,86.0,87.0,86.0,77.0,87.0,80.0,87.0,85,84.0,83.0
184267,87.0,87.0,86.0,79.0,93.0,76.0,72.0,85,83.0,85.0
183907,67.0,52.0,70.0,69.0,64.0,34.0,74.0,85,47.0,69.0
181872,60.0,75.0,82.0,76.0,76.0,75.0,85.0,85,80.0,83.0
181458,84.0,74.0,85.0,83.0,84.0,79.0,84.0,85,85.0,89.0
180930,65.0,36.0,84.0,63.0,76.0,89.0,66.0,85,89.0,76.0
179846,54.0,54.0,84.0,72.0,81.0,72.0,68.0,85,79.0,78.0
179844,74.0,53.0,83.0,65.0,77.0,87.0,64.0,85,87.0,76.0
178518,78.0,82.0,85.0,73.0,80.0,75.0,76.0,85,86.0,93.0
171919,60.0,36.0,68.0,45.0,60.0,57.0,45.0,85,53.0,61.0
170890,79.0,79.0,79.0,75.0,78.0,64.0,84.0,85,72.0,94.0
168609,66.0,57.0,73.0,48.0,67.0,43.0,82.0,85,43.0,65.0
165153,76.0,66.0,86.0,75.0,83.0,81.0,73.0,85,86.0,75.0
164169,76.0,62.0,83.0,86.0,77.0,59.0,71.0,85,71.0,89.0
139720,52.0,41.0,70.0,61.0,63.0,45.0,72.0,85,41.0,66.0
120533,65.0,49.0,62.0,46.0,58.0,46.0,76.0,85,40.0,60.0
41236,58.0,39.0,84.0,73.0,79.0,86.0,68.0,85,85.0,61.0
220793,72.0,55.0,73.0,36.0,63.0,40.0,73.0,84,34.0,76.0
216460,69.0,43.0,56.0,47.0,47.0,37.0,92.0,84,24.0,67.0
212462,84.0,70.0,82.0,89.0,82.0,65.0,81.0,84,76.0,92.0
212218,62.0,55.0,73.0,58.0,59.0,45.0,75.0,84,54.0,67.0
212198,79.0,78.0,85.0,84.0,83.0,73.0,72.0,84,79.0,89.0
212190,52.0,33.0,63.0,30.0,42.0,20.0,38.0,84,26.0,65.0
211300,88.0,81.0,86.0,76.0,87.0,84.0,74.0,84,83.0,75.0
211117,73.0,62.0,85.0,69.0,83.0,83.0,67.0,84,86.0,90.0
209499,69.0,67.0,82.0,79.0,76.0,66.0,75.0,84,70.0,92.0
207865,73.0,68.0,76.0,72.0,59.0,33.0,86.0,84,46.0,75.0
207566,49.0,51.0,79.0,68.0,80.0,52.0,69.0,84,64.0,84.0
205498,75.0,73.0,85.0,75.0,82.0,57.0,58.0,84,72.0,79.0
204970,87.0,71.0,86.0,83.0,85.0,81.0,76.0,84,83.0,83.0
204963,79.0,79.0,83.0,83.0,76.0,41.0,76.0,84,61.0,84.0
202556,87.0,79.0,85.0,79.0,85.0,79.0,74.0,84,83.0,79.0
200104,88.0,76.0,85.0,78.0,88.0,85.0,63.0,84,85.0,85.0
199482,63.0,62.0,21.0,19.0,15.0,18.0,82.0,84,9.0,36.0
198176,67.0,59.0,71.0,49.0,63.0,25.0,76.0,84,32.0,66.0
198009,57.0,30.0,23.0,11.0,19.0,11.0,75.0,84,12.0,30.0
193082,89.0,82.0,85.0,80.0,90.0,67.0,75.0,84,78.0,78.0
192629,85.0,74.0,85.0,80.0,86.0,88.0,68.0,84,86.0,75.0
192563,46.0,44.0,22.0,9.0,16.0,9.0,73.0,84,7.0,43.0
191202,52.0,50.0,79.0,71.0,80.0,64.0,67.0,84,69.0,84.0
190941,38.0,39.0,20.0,11.0,10.0,11.0,69.0,84,9.0,34.0
190584,66.0,75.0,83.0,68.0,78.0,72.0,63.0,84,79.0,77.0
188377,86.0,72.0,78.0,81.0,79.0,51.0,83.0,84,67.0,89.0
186942,67.0,78.0,86.0,74.0,85.0,73.0,61.0,84,79.0,69.0
185020,88.0,80.0,85.0,82.0,82.0,78.0,73.0,84,88.0,91.0
183898,85.0,77.0,85.0,83.0,86.0,72.0,72.0,84,82.0,73.0
181783,67.0,53.0,77.0,72.0,76.0,84.0,85.0,84,90.0,83.0
180403,91.0,79.0,84.0,76.0,88.0,77.0,41.0,84,80.0,85.0
178750,59.0,58.0,14.0,24.0,15.0,14.0,73.0,84,12.0,41.0
178562,68.0,83.0,86.0,80.0,84.0,66.0,57.0,84,75.0,74.0
177413,67.0,60.0,84.0,69.0,78.0,71.0,76.0,84,75.0,86.0
177388,75.0,80.0,90.0,87.0,86.0,78.0,48.0,84,79.0,73.0
176769,65.0,69.0,88.0,70.0,84.0,88.0,69.0,84,87.0,66.0
172879,64.0,64.0,58.0,47.0,58.0,44.0,86.0,84,49.0,69.0
167628,45.0,55.0,15.0,11.0,12.0,11.0,72.0,84,12.0,37.0
167397,69.0,75.0,82.0,55.0,75.0,86.0,91.0,84,88.0,68.0
163587,59.0,47.0,40.0,18.0,12.0,12.0,60.0,84,13.0,34.0
157481,54.0,56.0,71.0,38.0,59.0,27.0,77.0,84,30.0,55.0
143076,94.0,94.0,87.0,82.0,89.0,76.0,70.0,84,81.0,75.0
137186,61.0,64.0,65.0,40.0,64.0,21.0,81.0,84,28.0,53.0
20775,84.0,84.0,88.0,92.0,89.0,67.0,63.0,84,78.0,65.0
9014,83.0,90.0,88.0,80.0,89.0,85.0,60.0,84,84.0,64.0
231443,93.0,85.0,83.0,78.0,90.0,78.0,59.0,83,79.0,73.0
230666,87.0,91.0,85.0,66.0,86.0,84.0,77.0,83,88.0,84.0
230481,88.0,76.0,83.0,83.0,85.0,74.0,64.0,83,82.0,86.0
230375,83.0,68.0,70.0,40.0,56.0,38.0,69.0,83,38.0,76.0
230294,79.0,55.0,74.0,56.0,75.0,85.0,84.0,83,83.0,56.0
225850,75.0,65.0,78.0,62.0,58.0,31.0,77.0,83,39.0,80.0
220971,78.0,90.0,88.0,62.0,88.0,74.0,53.0,83,74.0,82.0
219683,75.0,74.0,81.0,67.0,77.0,75.0,90.0,83,79.0,87.0
213565,86.0,86.0,86.0,83.0,85.0,75.0,71.0,83,77.0,79.0
213345,95.0,84.0,83.0,81.0,88.0,76.0,75.0,83,79.0,76.0
213331,64.0,44.0,64.0,35.0,55.0,20.0,72.0,83,27.0,63.0
212523,77.0,65.0,84.0,78.0,82.0,80.0,58.0,83,86.0,76.0
212188,93.0,76.0,84.0,69.0,83.0,87.0,78.0,83,85.0,83.0
210008,73.0,72.0,83.0,70.0,79.0,69.0,73.0,83,76.0,82.0
209658,84.0,70.0,83.0,75.0,81.0,72.0,67.0,83,77.0,86.0
208808,90.0,79.0,82.0,79.0,84.0,86.0,82.0,83,79.0,83.0
208670,76.0,78.0,83.0,84.0,83.0,68.0,38.0,83,75.0,86.0
208618,84.0,84.0,83.0,86.0,82.0,73.0,68.0,83,81.0,90.0
208418,89.0,71.0,87.0,78.0,88.0,79.0,68.0,83,81.0,74.0
208093,77.0,69.0,81.0,61.0,78.0,83.0,72.0,83,83.0,72.0
207863,60.0,57.0,62.0,45.0,57.0,39.0,90.0,83,34.0,78.0
207410,84.0,85.0,89.0,73.0,88.0,62.0,63.0,83,69.0,82.0
206585,34.0,39.0,16.0,25.0,10.0,11.0,71.0,83,15.0,37.0
206545,68.0,72.0,83.0,72.0,80.0,71.0,77.0,83,77.0,77.0
206113,92.0,88.0,83.0,74.0,87.0,81.0,64.0,83,80.0,68.0
204935,53.0,55.0,40.0,17.0,14.0,19.0,72.0,83,18.0,45.0
204639,55.0,49.0,68.0,35.0,47.0,34.0,87.0,83,29.0,58.0
203574,67.0,59.0,80.0,62.0,69.0,29.0,75.0,83,48.0,79.0
202651,83.0,84.0,89.0,84.0,88.0,70.0,50.0,83,76.0,77.0
202166,78.0,75.0,89.0,83.0,88.0,78.0,75.0,83,79.0,69.0
201995,93.0,88.0,88.0,79.0,90.0,71.0,38.0,83,73.0,72.0
200949,94.0,90.0,81.0,75.0,88.0,78.0,77.0,83,80.0,75.0
200888,63.0,60.0,78.0,50.0,76.0,61.0,67.0,83,69.0,83.0
200724,70.0,68.0,78.0,70.0,55.0,32.0,81.0,83,37.0,78.0
200316,45.0,31.0,22.0,19.0,20.0,13.0,64.0,83,15.0,31.0
199914,81.0,80.0,80.0,70.0,82.0,72.0,70.0,83,79.0,95.0
199845,65.0,35.0,72.0,25.0,65.0,37.0,68.0,83,20.0,81.0
199564,78.0,74.0,83.0,85.0,78.0,63.0,47.0,83,69.0,85.0
198329,88.0,77.0,82.0,72.0,82.0,78.0,78.0,83,83.0,78.0
197965,82.0,77.0,82.0,79.0,80.0,76.0,67.0,83,84.0,86.0
195365,84.0,80.0,84.0,72.0,86.0,63.0,67.0,83,73.0,88.0
194404,53.0,49.0,24.0,11.0,19.0,15.0,80.0,83,11.0,39.0
193698,47.0,43.0,17.0,14.0,19.0,11.0,73.0,83,10.0,39.0
193474,76.0,80.0,79.0,60.0,75.0,50.0,87.0,83,67.0,89.0
192883,84.0,85.0,86.0,77.0,84.0,74.0,69.0,83,82.0,83.0
192638,69.0,58.0,83.0,85.0,79.0,68.0,71.0,83,79.0,90.0
192593,51.0,37.0,19.0,11.0,11.0,10.0,75.0,83,15.0,32.0
190547,50.0,51.0,59.0,29.0,51.0,27.0,81.0,83,24.0,67.0
189712,65.0,68.0,84.0,74.0,75.0,68.0,53.0,83,78.0,79.0
189068,49.0,32.0,74.0,38.0,68.0,87.0,51.0,83,89.0,82.0
188152,75.0,80.0,84.0,74.0,78.0,76.0,64.0,83,79.0,76.0
186627,76.0,50.0,85.0,68.0,81.0,85.0,74.0,83,79.0,66.0
185221,65.0,62.0,73.0,63.0,68.0,48.0,76.0,83,53.0,85.0
184942,85.0,85.0,84.0,77.0,84.0,79.0,61.0,83,81.0,82.0
179944,59.0,56.0,79.0,68.0,66.0,55.0,78.0,83,54.0,66.0
179783,38.0,36.0,24.0,14.0,15.0,11.0,72.0,83,11.0,32.0
178088,69.0,89.0,88.0,83.0,82.0,78.0,70.0,83,83.0,71.0
178086,56.0,51.0,15.0,12.0,12.0,11.0,71.0,83,11.0,32.0
178005,53.0,54.0,23.0,12.0,20.0,12.0,79.0,83,13.0,45.0
177683,48.0,58.0,25.0,13.0,15.0,13.0,73.0,83,15.0,45.0
177610,49.0,48.0,74.0,60.0,60.0,43.0,85.0,83,51.0,74.0
177457,66.0,63.0,75.0,69.0,72.0,59.0,77.0,83,69.0,86.0
176266,67.0,80.0,78.0,63.0,77.0,62.0,82.0,83,66.0,80.0
163705,53.0,36.0,17.0,14.0,15.0,13.0,74.0,83,11.0,31.0
162895,56.0,75.0,85.0,85.0,79.0,72.0,63.0,83,72.0,56.0
162240,72.0,76.0,89.0,65.0,89.0,66.0,75.0,83,70.0,70.0
156616,78.0,90.0,87.0,80.0,84.0,74.0,34.0,83,77.0,58.0
104389,40.0,45.0,23.0,18.0,11.0,13.0,59.0,83,15.0,31.0
53302,63.0,72.0,77.0,57.0,64.0,50.0,77.0,83,55.0,74.0
24630,50.0,60.0,23.0,11.0,10.0,14.0,73.0,83,13.0,34.0
236583,35.0,27.0,19.0,11.0,12.0,16.0,36.0,82,14.0,20.0
235243,62.0,59.0,73.0,57.0,65.0,53.0,80.0,82,44.0,74.0
231866,70.0,72.0,82.0,63.0,77.0,64.0,69.0,82,75.0,86.0
230658,68.0,86.0,83.0,70.0,82.0,72.0,83.0,82,77.0,78.0
230621,46.0,38.0,28.0,12.0,28.0,12.0,72.0,82,14.0,34.0
230258,80.0,80.0,76.0,61.0,77.0,53.0,43.0,82,58.0,93.0
230225,68.0,63.0,64.0,40.0,60.0,56.0,91.0,82,58.0,76.0
230168,41.0,41.0,21.0,10.0,9.0,8.0,67.0,82,27.0,29.0
227055,95.0,92.0,83.0,81.0,85.0,66.0,65.0,82,82.0,87.0
224411,89.0,78.0,81.0,76.0,86.0,75.0,65.0,82,77.0,81.0
223959,81.0,93.0,81.0,74.0,78.0,50.0,52.0,82,65.0,85.0
222737,87.0,84.0,85.0,79.0,85.0,75.0,58.0,82,79.0,74.0
221087,45.0,57.0,16.0,24.0,18.0,19.0,68.0,82,20.0,42.0
220814,80.0,67.0,79.0,78.0,65.0,42.0,83.0,82,57.0,82.0
220440,72.0,60.0,76.0,36.0,60.0,23.0,79.0,82,47.0,73.0
216354,78.0,82.0,86.0,75.0,87.0,86.0,69.0,82,84.0,76.0
216267,81.0,74.0,78.0,86.0,76.0,57.0,59.0,82,66.0,89.0
216194,53.0,72.0,81.0,55.0,66.0,51.0,65.0,82,60.0,88.0
212404,83.0,79.0,87.0,82.0,86.0,70.0,49.0,82,78.0,80.0
212194,78.0,78.0,85.0,77.0,87.0,78.0,63.0,82,78.0,73.0
211320,56.0,53.0,65.0,40.0,64.0,33.0,81.0,82,28.0,67.0
210617,85.0,78.0,83.0,81.0,85.0,77.0,63.0,82,81.0,55.0
210514,91.0,74.0,83.0,85.0,84.0,58.0,73.0,82,78.0,89.0
210413,63.0,53.0,69.0,36.0,65.0,30.0,78.0,82,31.0,75.0
209989,73.0,53.0,81.0,58.0,78.0,63.0,84.0,82,60.0,87.0
209297,77.0,87.0,86.0,67.0,79.0,74.0,83.0,82,69.0,87.0
208830,89.0,76.0,76.0,64.0,76.0,85.0,76.0,82,85.0,86.0
208596,78.0,75.0,75.0,42.0,78.0,88.0,83.0,82,85.0,83.0
208448,76.0,82.0,87.0,84.0,82.0,70.0,53.0,82,75.0,74.0
207494,84.0,86.0,83.0,74.0,83.0,78.0,63.0,82,86.0,87.0
207471,58.0,39.0,87.0,73.0,86.0,74.0,44.0,82,77.0,61.0
205678,90.0,88.0,82.0,80.0,82.0,80.0,69.0,82,80.0,84.0
205452,67.0,50.0,69.0,68.0,59.0,27.0,73.0,82,33.0,60.0
203551,86.0,82.0,79.0,77.0,78.0,70.0,74.0,82,82.0,90.0
203263,39.0,58.0,76.0,44.0,70.0,43.0,74.0,82,60.0,68.0
202371,74.0,49.0,82.0,83.0,75.0,76.0,72.0,82,80.0,92.0
201956,62.0,37.0,70.0,57.0,64.0,38.0,47.0,82,48.0,69.0
201455,69.0,67.0,82.0,65.0,78.0,69.0,83.0,82,78.0,85.0
201400,71.0,80.0,84.0,72.0,87.0,73.0,73.0,82,77.0,67.0
201305,71.0,67.0,69.0,67.0,60.0,42.0,83.0,82,51.0,72.0
201153,76.0,60.0,82.0,73.0,83.0,80.0,84.0,82,85.0,68.0
199987,54.0,50.0,32.0,17.0,12.0,10.0,71.0,82,11.0,40.0
199451,87.0,87.0,83.0,74.0,84.0,84.0,81.0,82,87.0,69.0
198951,88.0,72.0,82.0,74.0,80.0,84.0,79.0,82,85.0,79.0
198950,75.0,81.0,84.0,86.0,86.0,78.0,40.0,82,79.0,72.0
198717,89.0,82.0,87.0,81.0,90.0,77.0,57.0,82,78.0,76.0
198706,77.0,74.0,88.0,76.0,86.0,80.0,54.0,82,81.0,73.0
198164,86.0,92.0,82.0,75.0,84.0,78.0,88.0,82,72.0,79.0
198141,75.0,71.0,80.0,55.0,70.0,55.0,89.0,82,61.0,67.0
197655,46.0,30.0,62.0,17.0,64.0,42.0,54.0,82,49.0,81.0
195093,62.0,43.0,80.0,54.0,79.0,84.0,72.0,82,87.0,73.0
193525,79.0,61.0,79.0,76.0,77.0,56.0,84.0,82,76.0,87.0
193469,55.0,58.0,71.0,54.0,53.0,37.0,78.0,82,39.0,72.0
193283,76.0,74.0,77.0,67.0,73.0,72.0,91.0,82,75.0,90.0
192984,44.0,43.0,23.0,15.0,14.0,15.0,58.0,82,15.0,44.0
192318,74.0,85.0,90.0,78.0,84.0,75.0,58.0,82,81.0,73.0
192227,58.0,67.0,70.0,53.0,53.0,58.0,83.0,82,50.0,68.0
191180,69.0,63.0,86.0,77.0,87.0,73.0,49.0,82,78.0,62.0
189505,79.0,80.0,85.0,78.0,84.0,78.0,66.0,82,82.0,70.0
189125,75.0,77.0,85.0,82.0,83.0,70.0,69.0,82,78.0,84.0
189117,44.0,52.0,23.0,15.0,12.0,8.0,74.0,82,10.0,36.0
188803,93.0,83.0,85.0,73.0,87.0,76.0,62.0,82,74.0,79.0
187936,44.0,31.0,81.0,59.0,72.0,64.0,75.0,82,70.0,86.0
187754,85.0,84.0,88.0,76.0,87.0,79.0,68.0,82,77.0,78.0
186561,64.0,74.0,82.0,75.0,81.0,74.0,66.0,82,84.0,89.0
186345,76.0,74.0,80.0,91.0,75.0,48.0,73.0,82,75.0,88.0
185103,73.0,58.0,76.0,91.0,79.0,55.0,80.0,82,75.0,84.0
184484,58.0,63.0,85.0,86.0,80.0,77.0,68.0,82,79.0,86.0
184431,88.0,91.0,86.0,72.0,86.0,80.0,34.0,82,82.0,77.0
184200,79.0,66.0,85.0,80.0,84.0,78.0,67.0,82,83.0,78.0
184144,84.0,81.0,83.0,80.0,84.0,71.0,81.0,82,77.0,69.0
183711,67.0,70.0,80.0,81.0,73.0,67.0,79.0,82,75.0,91.0
183574,69.0,76.0,85.0,81.0,82.0,83.0,65.0,82,85.0,71.0
183498,68.0,71.0,79.0,70.0,75.0,70.0,77.0,82,82.0,88.0
183376,52.0,58.0,72.0,50.0,68.0,49.0,73.0,82,50.0,90.0
183280,52.0,54.0,68.0,36.0,56.0,45.0,76.0,82,24.0,84.0
181786,49.0,46.0,73.0,68.0,65.0,44.0,81.0,82,45.0,80.0
181291,77.0,81.0,84.0,67.0,84.0,70.0,80.0,82,79.0,85.0
179847,36.0,32.0,72.0,44.0,48.0,41.0,41.0,82,32.0,74.0
178509,43.0,54.0,83.0,64.0,70.0,83.0,84.0,82,83.0,62.0
173521,67.0,56.0,67.0,49.0,54.0,43.0,91.0,82,30.0,78.0
171897,74.0,88.0,84.0,73.0,80.0,60.0,74.0,82,70.0,84.0
170481,34.0,34.0,73.0,62.0,60.0,58.0,76.0,82,42.0,62.0
168530,50.0,34.0,60.0,46.0,52.0,38.0,77.0,82,30.0,68.0
168435,50.0,55.0,18.0,13.0,15.0,10.0,68.0,82,10.0,34.0
168354,30.0,32.0,22.0,12.0,18.0,17.0,66.0,82,10.0,29.0
165229,64.0,61.0,66.0,52.0,62.0,32.0,78.0,82,41.0,62.0
163489,48.0,40.0,23.0,10.0,10.0,10.0,80.0,82,10.0,31.0
158963,65.0,78.0,84.0,74.0,80.0,50.0,62.0,82,50.0,75.0
146530,77.0,87.0,86.0,85.0,84.0,61.0,80.0,82,74.0,74.0
113422,72.0,73.0,85.0,71.0,83.0,86.0,67.0,82,86.0,70.0
106231,64.0,55.0,82.0,54.0,76.0,83.0,90.0,82,87.0,60.0
48940,35.0,34.0,22.0,19.0,12.0,12.0,50.0,82,13.0,32.0
5479,59.0,46.0,23.0,13.0,25.0,12.0,77.0,82,16.0,43.0
231677,90.0,77.0,80.0,75.0,83.0,78.0,68.0,81,81.0,79.0
230271,86.0,88.0,82.0,73.0,82.0,72.0,44.0,81,82.0,67.0
229906,94.0,84.0,82.0,77.0,86.0,75.0,86.0,81,80.0,76.0
229237,72.0,66.0,75.0,51.0,67.0,36.0,78.0,81,33.0,76.0
228702,74.0,78.0,88.0,75.0,86.0,52.0,76.0,81,63.0,74.0
227928,91.0,83.0,78.0,74.0,80.0,50.0,80.0,81,72.0,91.0
226456,71.0,76.0,81.0,74.0,81.0,77.0,59.0,81,77.0,77.0
226271,69.0,66.0,83.0,72.0,81.0,79.0,46.0,81,80.0,73.0
225508,68.0,62.0,65.0,51.0,60.0,33.0,85.0,81,47.0,72.0
222509,73.0,79.0,85.0,74.0,85.0,68.0,52.0,81,76.0,75.0
221992,94.0,76.0,80.0,75.0,84.0,77.0,75.0,81,77.0,80.0
216475,88.0,80.0,83.0,79.0,87.0,80.0,62.0,81,77.0,82.0
216451,75.0,88.0,84.0,72.0,78.0,69.0,69.0,81,73.0,75.0
216409,85.0,82.0,83.0,79.0,84.0,74.0,50.0,81,77.0,79.0
216352,69.0,74.0,83.0,72.0,81.0,69.0,68.0,81,69.0,84.0
216201,92.0,55.0,81.0,78.0,82.0,77.0,86.0,81,76.0,75.0
214997,87.0,83.0,87.0,74.0,87.0,82.0,50.0,81,82.0,74.0
213661,66.0,61.0,74.0,49.0,68.0,36.0,72.0,81,32.0,69.0
212814,73.0,77.0,83.0,77.0,83.0,64.0,64.0,81,77.0,79.0
212151,41.0,47.0,15.0,18.0,14.0,18.0,49.0,81,18.0,23.0
